,model 1 main alpha,model 2 main alpha,model 3 main alpha,model 4 main alpha,model 5 main alpha
D1greek,-0.01,-0.11,-0.30,-0.39,-0.22
D1keyboard,-0.45,-0.22,-0.78,-0.84,-0.40
D1lowercase,-0.07,-0.22,-0.02,-0.09,-0.22
D1numbers,-0.07,0.00,0.03,-0.30,-0.37
D1roman,-0.09,-0.15,-0.39,-0.45,-0.06
D2 or ,-0.11,-0.08,-0.12,-0.06,-0.29
D2 OR ,-0.03,-0.02,-0.04,-0.01,-0.14
"D2
",0.03,0.14,0.08,0.00,0.01
"D2, ",0.03,-0.01,-0.06,-0.02,-0.12
D2; ,0.00,0.05,0.00,-0.01,-0.08
D2\s,-0.04,-0.11,-0.15,-0.10,-0.26
D3correct_first,0.19,-0.60,-0.36,-0.33,0.08
D3longest_to_shortest,0.09,0.03,0.07,0.04,0.10
D3none,0.19,0.10,0.01,0.14,0.05
D3reverse_alphabetical,-0.05,-0.04,0.14,0.13,0.14
D3shortest_to_longest,-0.04,0.05,-0.01,0.22,0.04
"D4Below are multiple-choice questions related to {topic}. Please provide the correct answer for each question.

Question: {question}
Choices: {choices}
Answer:",-0.01,-0.02,0.01,0.02,-0.03
"D4Could you provide a response to the following question:
{question}
{choices}
Answer:",-0.42,-0.10,-0.17,-0.71,-0.66
"D4Here are some multiple choice questions along with their answers about {topic}.

Question: {question}
Choices: {choices}
Correct Answer:",0.02,0.01,-0.03,-0.13,-0.01
"D4Please address the following question:
{question}
{choices}
Answer:",-0.39,-0.13,-0.19,-0.74,-0.64
"D4Please answer the following question:
{question}
{choices}
Answer:",-0.29,-0.07,-0.08,-0.57,-0.51
"D4Question: [question] Choices: [choices] Answer: [answer]
Question: {question} Choices: {choices} Answer:",-0.21,-0.08,-0.57,-0.35,-0.26
"D4Question: {question}

Choices: {choices}
Answer:",-0.05,-0.03,-0.01,-0.17,-0.28
"D4The following are multiple choice questions (with answers) about {topic}.

{question}
{choices}
Answer:",-0.07,-0.04,-0.07,-0.25,-0.24
"D4The following are multiple choice questions (with answers) about {topic}.

Question: {question}
{choices}
Answer:",-0.03,0.01,-0.06,-0.12,-0.20
"D4The following are multiple choice questions (with answers).

{question}
{choices}
Answer:",-0.06,-0.06,-0.10,-0.16,-0.25
"D4The following are multiple choice questions (with answers).

Question: {question}
{choices}
Answer:",-0.03,-0.03,-0.09,-0.05,-0.21
"D4Topic: {topic}
Question: [question] Choices: [choices] Answer: [answer]
Question: {question} Choices: {choices} Answer:",-0.24,-0.03,-0.43,-0.27,-0.23
D55,0.49,0.36,0.64,0.96,1.00
